Start_date,End_date,Rank,Song No
1989.01.05,1989.01.11,1,47403
1989.01.05,1989.01.11,2,1100028
1989.01.05,1989.01.11,3,189692
1989.01.05,1989.01.11,4,47203
1989.01.05,1989.01.11,5,1080144
1989.01.12,1989.01.18,1,47403
1989.01.12,1989.01.18,2,47133
1989.01.12,1989.01.18,3,1100028
1989.01.12,1989.01.18,4,189692
1989.01.12,1989.01.18,5,1080144
1989.01.19,1989.01.25,1,47403
1989.01.19,1989.01.25,2,47133
1989.01.19,1989.01.25,3,1100028
1989.01.19,1989.01.25,4,1080144
1989.01.19,1989.01.25,5,48187
1989.01.26,1989.02.01,1,47133
1989.01.26,1989.02.01,2,47403
1989.01.26,1989.02.01,3,1100028
1989.01.26,1989.02.01,4,48187
1989.01.26,1989.02.01,5,1080144
1989.02.02,1989.02.08,1,47133
1989.02.02,1989.02.08,2,1100028
1989.02.02,1989.02.08,3,47403
1989.02.02,1989.02.08,4,48187
1989.02.02,1989.02.08,5,47405
1989.02.09,1989.02.15,1,47133
1989.02.09,1989.02.15,2,1100028
1989.02.09,1989.02.15,3,47405
1989.02.09,1989.02.15,4,47403
1989.02.09,1989.02.15,5,48187
1989.02.16,1989.02.22,1,47405
1989.02.16,1989.02.22,2,47133
1989.02.16,1989.02.22,3,1100028
1989.02.16,1989.02.22,4,66655
1989.02.16,1989.02.22,5,80266
1989.02.23,1989.03.01,1,47405
1989.02.23,1989.03.01,2,47133
1989.02.23,1989.03.01,3,1100028
1989.02.23,1989.03.01,4,66655
1989.02.23,1989.03.01,5,80266
1989.03.02,1989.03.08,1,47405
1989.03.02,1989.03.08,2,47133
1989.03.02,1989.03.08,3,1100028
1989.03.02,1989.03.08,4,1551809
1989.03.02,1989.03.08,5,66655
1989.03.09,1989.03.15,1,47405
1989.03.09,1989.03.15,2,47133
1989.03.09,1989.03.15,3,1551809
1989.03.09,1989.03.15,4,53546
1989.03.09,1989.03.15,5,60992
1989.03.16,1989.03.22,1,47405
1989.03.16,1989.03.22,2,47133
1989.03.16,1989.03.22,3,1551813
1989.03.16,1989.03.22,4,60992
1989.03.16,1989.03.22,5,53546
1989.03.23,1989.03.29,1,1551813
1989.03.23,1989.03.29,2,60992
1989.03.23,1989.03.29,3,47133
1989.03.23,1989.03.29,4,47405
1989.03.23,1989.03.29,5,53546
1989.03.30,1989.04.05,1,1551813
1989.03.30,1989.04.05,2,60992
1989.03.30,1989.04.05,3,58150
1989.03.30,1989.04.05,4,47405
1989.03.30,1989.04.05,5,47133
1989.04.06,1989.04.12,1,1551813
1989.04.06,1989.04.12,2,58150
1989.04.06,1989.04.12,3,60992
1989.04.06,1989.04.12,4,1104888
1989.04.06,1989.04.12,5,47405
1989.04.13,1989.04.19,1,58150
1989.04.13,1989.04.19,2,1551813
1989.04.13,1989.04.19,3,1104888
1989.04.13,1989.04.19,4,60992
1989.04.13,1989.04.19,5,47405
1989.04.20,1989.04.26,1,58150
1989.04.20,1989.04.26,2,1104888
1989.04.20,1989.04.26,3,1551813
1989.04.20,1989.04.26,4,986892
1989.04.20,1989.04.26,5,52157
1989.04.27,1989.05.03,1,58150
1989.04.27,1989.05.03,2,1104888
1989.04.27,1989.05.03,3,52157
1989.04.27,1989.05.03,4,986892
1989.04.27,1989.05.03,5,1551813
1989.05.04,1989.05.10,1,58150
1989.05.04,1989.05.10,2,52941
1989.05.04,1989.05.10,3,52157
1989.05.04,1989.05.10,4,1104888
1989.05.04,1989.05.10,5,47404
1989.05.11,1989.05.17,1,58150
1989.05.11,1989.05.17,2,52941
1989.05.11,1989.05.17,3,52157
1989.05.11,1989.05.17,4,47404
1989.05.11,1989.05.17,5,1768642
1989.05.18,1989.05.24,1,58150
1989.05.18,1989.05.24,2,52941
1989.05.18,1989.05.24,3,47404
1989.05.18,1989.05.24,4,52157
1989.05.18,1989.05.24,5,59181
1989.05.25,1989.05.31,1,52941
1989.05.25,1989.05.31,2,58150
1989.05.25,1989.05.31,3,47404
1989.05.25,1989.05.31,4,59181
1989.05.25,1989.05.31,5,52157
1989.06.01,1989.06.07,1,52941
1989.06.01,1989.06.07,2,58150
1989.06.01,1989.06.07,3,59181
1989.06.01,1989.06.07,4,47404
1989.06.01,1989.06.07,5,57126
1989.06.08,1989.06.14,1,52941
1989.06.08,1989.06.14,2,58150
1989.06.08,1989.06.14,3,59181
1989.06.08,1989.06.14,4,69759
1989.06.08,1989.06.14,5,47404
1989.06.15,1989.06.21,1,52941
1989.06.15,1989.06.21,2,69759
1989.06.15,1989.06.21,3,59181
1989.06.15,1989.06.21,4,58150
1989.06.15,1989.06.21,5,52157
1989.06.22,1989.06.28,1,52941
1989.06.22,1989.06.28,2,69759
1989.06.22,1989.06.28,3,58151
1989.06.22,1989.06.28,4,59181
1989.06.22,1989.06.28,5,52157
1989.06.29,1989.07.05,1,58151
1989.06.29,1989.07.05,2,69759
1989.06.29,1989.07.05,3,52941
1989.06.29,1989.07.05,4,52660
1989.06.29,1989.07.05,5,59181
1989.07.06,1989.07.12,1,58151
1989.07.06,1989.07.12,2,52941
1989.07.06,1989.07.12,3,69759
1989.07.06,1989.07.12,4,52660
1989.07.06,1989.07.12,5,1551808
1989.07.13,1989.07.19,1,58151
1989.07.13,1989.07.19,2,52941
1989.07.13,1989.07.19,3,52660
1989.07.13,1989.07.19,4,69759
1989.07.13,1989.07.19,5,1551808
1989.07.20,1989.07.26,1,58151
1989.07.20,1989.07.26,2,52941
1989.07.20,1989.07.26,3,52660
1989.07.20,1989.07.26,4,69759
1989.07.20,1989.07.26,5,59181
1989.07.27,1989.08.02,1,58151
1989.07.27,1989.08.02,2,52941
1989.07.27,1989.08.02,3,59181
1989.07.27,1989.08.02,4,69759
1989.07.27,1989.08.02,5,52660
1989.08.03,1989.08.09,1,58151
1989.08.03,1989.08.09,2,59181
1989.08.03,1989.08.09,3,52941
1989.08.03,1989.08.09,4,69759
1989.08.03,1989.08.09,5,1768642
1989.08.10,1989.08.16,1,58151
1989.08.10,1989.08.16,2,59181
1989.08.10,1989.08.16,3,1768642
1989.08.10,1989.08.16,4,52941
1989.08.10,1989.08.16,5,69759
1989.08.17,1989.08.23,1,58151
1989.08.17,1989.08.23,2,1768642
1989.08.17,1989.08.23,3,59181
1989.08.17,1989.08.23,4,52941
1989.08.17,1989.08.23,5,53548
1989.08.24,1989.08.30,1,1768642
1989.08.24,1989.08.30,2,58151
1989.08.24,1989.08.30,3,53548
1989.08.24,1989.08.30,4,53017
1989.08.24,1989.08.30,5,1839744
1989.08.31,1989.09.06,1,1768642
1989.08.31,1989.09.06,2,53017
1989.08.31,1989.09.06,3,53548
1989.08.31,1989.09.06,4,1839744
1989.08.31,1989.09.06,5,188681
1989.09.07,1989.09.13,1,1768642
1989.09.07,1989.09.13,2,53017
1989.09.07,1989.09.13,3,53548
1989.09.07,1989.09.13,4,1839744
1989.09.07,1989.09.13,5,188681
1989.09.14,1989.09.20,1,1768642
1989.09.14,1989.09.20,2,53017
1989.09.14,1989.09.20,3,53548
1989.09.14,1989.09.20,4,52645
1989.09.14,1989.09.20,5,1839744
1989.09.21,1989.09.27,1,53017
1989.09.21,1989.09.27,2,1768642
1989.09.21,1989.09.27,3,53548
1989.09.21,1989.09.27,4,52645
1989.09.21,1989.09.27,5,58151
1989.09.28,1989.10.04,1,53017
1989.09.28,1989.10.04,2,61490
1989.09.28,1989.10.04,3,1768642
1989.09.28,1989.10.04,4,52645
1989.09.28,1989.10.04,5,58151
1989.10.05,1989.10.11,1,61490
1989.10.05,1989.10.11,2,53017
1989.10.05,1989.10.11,3,58151
1989.10.05,1989.10.11,4,1768642
1989.10.05,1989.10.11,5,52941
1989.10.12,1989.10.18,1,61490
1989.10.12,1989.10.18,2,58151
1989.10.12,1989.10.18,3,53017
1989.10.12,1989.10.18,4,1768642
1989.10.12,1989.10.18,5,52941
1989.10.19,1989.10.25,1,58151
1989.10.19,1989.10.25,2,61490
1989.10.19,1989.10.25,3,53017
1989.10.19,1989.10.25,4,1108580
1989.10.19,1989.10.25,5,52515
1989.10.26,1989.11.01,1,53017
1989.10.26,1989.11.01,2,61490
1989.10.26,1989.11.01,3,58151
1989.10.26,1989.11.01,4,1108580
1989.10.26,1989.11.01,5,52515
1989.11.02,1989.11.08,1,53017
1989.11.02,1989.11.08,2,61490
1989.11.02,1989.11.08,3,1108580
1989.11.02,1989.11.08,4,52515
1989.11.02,1989.11.08,5,1076768
1989.11.09,1989.11.15,1,53017
1989.11.09,1989.11.15,2,1076768
1989.11.09,1989.11.15,3,52515
1989.11.09,1989.11.15,4,1108580
1989.11.09,1989.11.15,5,1839744
1989.11.16,1989.11.22,1,52515
1989.11.16,1989.11.22,2,58160
1989.11.16,1989.11.22,3,53017
1989.11.16,1989.11.22,4,52441
1989.11.16,1989.11.22,5,1839744
1989.11.23,1989.11.29,1,52441
1989.11.23,1989.11.29,2,58160
1989.11.23,1989.11.29,3,52515
1989.11.23,1989.11.29,4,53017
1989.11.23,1989.11.29,5,1839744
1989.11.30,1989.12.06,1,52441
1989.11.30,1989.12.06,2,58160
1989.11.30,1989.12.06,3,1104907
1989.11.30,1989.12.06,4,52515
1989.11.30,1989.12.06,5,1839744
1989.12.07,1989.12.13,1,52441
1989.12.07,1989.12.13,2,58160
1989.12.07,1989.12.13,3,1104907
1989.12.07,1989.12.13,4,1087276
1989.12.07,1989.12.13,5,1839744
1989.12.14,1989.12.20,1,52441
1989.12.14,1989.12.20,2,58160
1989.12.14,1989.12.20,3,1104907
1989.12.14,1989.12.20,4,1087276
1989.12.14,1989.12.20,5,53060
1989.12.21,1989.12.27,1,52441
1989.12.21,1989.12.27,2,53060
1989.12.21,1989.12.27,3,1859404
1989.12.21,1989.12.27,4,58160
1989.12.21,1989.12.27,5,1104907
1988.01.07,1988.01.13,1,619405
1988.01.07,1988.01.13,2,2346659
1988.01.07,1988.01.13,3,1028062
1988.01.07,1988.01.13,4,2506705
1988.01.07,1988.01.13,5,1010296
1988.01.14,1988.01.20,1,619405
1988.01.14,1988.01.20,2,59173
1988.01.14,1988.01.20,3,2506705
1988.01.14,1988.01.20,4,1028062
1988.01.14,1988.01.20,5,2346659
1988.01.21,1988.01.27,1,59173
1988.01.21,1988.01.27,2,619405
1988.01.21,1988.01.27,3,2506705
1988.01.21,1988.01.27,4,1028062
1988.01.21,1988.01.27,5,2346659
1988.01.28,1988.02.03,1,59173
1988.01.28,1988.02.03,2,619405
1988.01.28,1988.02.03,3,48291
1988.01.28,1988.02.03,4,2506705
1988.01.28,1988.02.03,5,2509669
1988.02.04,1988.02.10,1,59173
1988.02.04,1988.02.10,2,619405
1988.02.04,1988.02.10,3,48291
1988.02.04,1988.02.10,4,2509669
1988.02.04,1988.02.10,5,91339
1988.02.11,1988.02.17,1,59173
1988.02.11,1988.02.17,2,48291
1988.02.11,1988.02.17,3,619405
1988.02.11,1988.02.17,4,2509669
1988.02.11,1988.02.17,5,91339
1988.02.18,1988.02.24,1,59173
1988.02.18,1988.02.24,2,1110893
1988.02.18,1988.02.24,3,619405
1988.02.18,1988.02.24,4,48291
1988.02.18,1988.02.24,5,2509669
1988.02.25,1988.03.02,1,59173
1988.02.25,1988.03.02,2,1110893
1988.02.25,1988.03.02,3,619405
1988.02.25,1988.03.02,4,80259
1988.02.25,1988.03.02,5,48291
1988.03.03,1988.03.09,1,59173
1988.03.03,1988.03.09,2,1110893
1988.03.03,1988.03.09,3,619405
1988.03.03,1988.03.09,4,80259
1988.03.03,1988.03.09,5,2346661
1988.03.10,1988.03.16,1,59173
