song_id,song_name,image_name,artists,album_name,release_date,genre,lyrics,lyricists,composers,arrangers
34061322,사랑은 늘 도망가,image_34061322.jpg,임영웅,신사와 아가씨 OST Part.2,2021.10.11,"발라드, 국내드라마",눈물이 난다 이 길을 걸으면<br>그 사람 손길이 자꾸 생각이 난다<br>붙잡지 못하고 가슴만 떨었지<br>내 아름답던 사람아<br>사랑이란 게 참 쓰린 거더라<br>잡으려 할수록 더 멀어지더라<br>이별이란 게 참 쉬운 거더라<br>내 잊지 못할 사람아<br>사랑아 왜 도망가<br>수줍은 아이처럼<br>행여 놓아버릴까 봐<br>꼭 움켜쥐지만<br>그리움이 쫓아 사랑은 늘 도망가<br>잠시 쉬어가면 좋을 텐데<br>바람이 분다 옷깃을 세워도<br>차가운 이별의 눈물이 차올라<br>잊지 못해서 가슴에 사무친<br>내 소중했던 사람아<br>사랑아 왜 도망가<br>수줍은 아이처럼<br>행여 놓아버릴까 봐<br>꼭 움켜쥐지만<br>그리움이 쫓아 사랑은 늘 도망가<br>잠시 쉬어가면 좋을 텐데<br>기다림도 애태움도 다 버려야 하는데<br>무얼 찾아 이 길을 서성일까<br>무얼 찾아 여기 있나<br>사랑아 왜 도망가<br>수줍은 아이처럼<br>행여 놓아버릴까 봐<br>꼭 움켜쥐지만<br>그리움이 쫓아 사랑은 늘 도망가<br>잠시 쉬어가면 좋을 텐데<br>잠시 쉬어가면 좋을 텐데<br>,강태규,홍진영,한밤 (Midnight)
33496587,다정히 내 이름을 부르면,image_33496587.jpg,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호),2021.05.19,발라드,끝없이 별빛이 내리던 밤<br>기분 좋은 바람이<br>두 뺨을 스치고 <br>새벽 바다 한곳을 보는<br>아름다운 너와 나<br>그림을 그려갔어<br>모래 위 떨린 손끝으로<br>날 향해 웃어주는 입술<br>끝 모양과 저 달보다<br>사랑스러운 두 눈을 가진 네가<br>다정히 내 이름을<br>부르면 내 마음이<br>녹아내려 언제나<br>나 하날 위해 준비된<br>선물 같아 널 안으면<br>잠들지 않는 바다 위를<br>너와 함께 걷는 거 같아<br>하늘 아래 너와 나<br>남은 내 모든 날을 너에게<br>다 줘도 안 아까워<br>이제서야 내가<br>사랑에 눈을 뜬 건 가봐<br>경험하지 못했고<br>믿기지 않는 일만<br>일어나고 있는 거 아니<br>5월에 피는 봄꽃 처럼<br>내 사랑도 피어나<br>부는 바람에 살며시 실어 보내<br>다정히 내 이름을<br>부르면 내 마음이<br>녹아내려 언제나<br>나 하날 위해 준비된<br>선물 같아 널 안으면<br>잠들지 않는 바다 위를<br>너와 함께 걷는 거 같아<br>하늘 아래 너와 나<br>설레는 지금이<br>꿈이 아닌 걸 알잖아<br>난 더 바랄 게 없어<br>먼 훗날 내 생애<br>아주 작은 소리로<br>귓가에 말할 거야<br>내 곁에 머물러줘서<br>마음 다해 고맙다고<br>어떤 말로도 표현 못 할<br>내 인생의 전부였다고<br>이 순간 너를 꼭 안고<br>고백할게 언제나<br>우리 모든 날들과<br>별빛 아래 우리 그림자<br>제일로 특별하다고<br>길고 긴 겨울 끝을 지나<br>너의 앞에 서있는 지금<br>선명한 목소리로<br>널 사랑한다고<br>말할게<br>,"한상원, 이진성 (먼데이 키즈)","한상원, 이진성 (먼데이 키즈)",한상원
33589260,치맛바람 (Chi Mat Ba Ram),image_33589260.jpg,브레이브걸스,Summer Queen,2021.06.17,댄스,"You know what it is<br>B. girls are back, Brave Sound<br>We're gonna be ""Summer Queens""<br>You ready? We are ""BRAVE GIRLS""     <br><br>Oh Oh Oh Oh Oh Oh <br>Oh Oh Oh Oh Oh Oh Oh<br>Oh Oh Oh Oh Oh Oh <br>Oh Oh Oh Oh Oh  <br><br>Just wanna give ur love<br>날 보는 눈빛에 분명 적혀있어<br>내게 Rollin' in the deep (Rollin' Rollin')<br><br>I don't want ""지루함"" or ""따분함"" <br>Oh get away <br>난 더 특별함을 원해 너에게<br><br>푸른 바람 불어와<br>두 볼을 스칠 때 (Hey)<br>또 괜히 나 왜 두근거려 왜 (왜)<br><br>Call me ""Desperado""<br>뭐래도 몰라도 돼<br>오늘만은 내 멋대로<br>Go far away<br><br>치맛바람이 불어와 (불어와)<br>내게도 사랑이 찾아와 Yeah<br>뜨거운 햇살이 비춰와 (비춰와)<br>아름다운 여름밤이라구요<br><br>살랑 살랑 살랑 불어 기분 좋은 날에<br>바람 바람 바람 이 시원한 바람<br>찰랑 찰랑 찰랑 이 푸른 바닷가에<br>바람 바람 바람 치 맛 바 람<br><br>눈치 따위는 안 보여 Babe<br>(널 향한 내 맘에)<br><br>내숭 따위는 Get nah Joy Babe<br>(This is my way)<br><br>Your eyes on my body<br>눈 떼지 못해 넌<br><br>부디 오늘 밤은 I don't let you go<br>Ooh baby I mean You know<br><br>푸른 바람 불어와<br>두 볼을 스칠 때 (Hey)<br>또 괜히 나 왜 두근거려 왜 (왜)<br><br>Call me ""Desperado""<br>뭐래도 몰라도 돼<br>오늘만은 내 멋대로<br>Go far away<br><br>치맛바람이 불어와 (불어와)<br>내게도 사랑이 찾아와 Yeah<br>뜨거운 햇살이 비춰와 (비춰와)<br>아름다운 여름밤이라구요<br><br>살랑 살랑 살랑 불어 기분 좋은 날에<br>바람 바람 바람 이 시원한 바람<br>찰랑 찰랑 찰랑 이 푸른 바닷가에<br>바람 바람 바람 치 맛 바 람<br><br>너와 함께 있고 이 밤은 빛나는데<br>Now I'm Fearless 난 없어 무서울게<br><br>I know 너도 내 맘과 같은 걸<br>We're just falling in love<br><br>Let's Go!<br><br>Oh Oh Oh Oh Oh Oh (Oh Babe)<br>Oh Oh Oh Oh Oh Oh Oh (시원한 이 바람)<br>Oh Oh Oh Oh Oh Oh (Oh Babe Babe)<br>치 맛 바 람","용감한 형제, 차쿤","용감한 형제, 차쿤, 레드쿠키",레드쿠키
34398735,Counting Stars (Feat. Beenzino),image_34398735.jpg,BE'O (비오),Counting Stars,2021.12.12,랩/힙합,Counting stars<br>밤하늘에 펄<br>Better than your LV<br>Your LV<br>Counting stars stars<br>밤하늘에 펄<br>Better than your LV<br>Your LV<br>Yeah Salvador Dali and I'm Picasso<br>별들은 내 작품을 전시 밀라노에<br>Not 일방통행 나 피만 토했던<br>시절을 생각하면 눈물이 핑 도네<br>My grandfather<br>요양병원 가시던 날이야<br>대성통곡하며 인사<br>코로나 바이러스 면회 못 간대<br>fxck covid<br>이제 할아버지 몸값 비싸<br>좋은 약 좋은 날 좋은 삶<br>좋은 것만 다 한데 모아<br>해드려야 하지 그의 손잔<br>서울대는 아니어도 곧잘 살아<br>이 새파란 놈은 걱정 마<br>이제 당신의 자식까지 사장 만들어<br>이게 나의 각오 yeah<br>Counting stars<br>밤하늘에 펄<br>Better than your LV<br>Your LV<br>Counting stars stars<br>밤하늘에 펄<br>Better than your LV<br>Your LV<br>A Letter to my step father<br>기억나나요 내가 대학 갔을 때<br>축하한다며 주신 백만원으로<br>난 시작 했어요 내 세상을<br>낙원상가 가서 야마하 스피커랑<br>14만원 짜리 마이크 사고<br>그때 우리 가족 잠실 살던 때<br>그때만 해도 내가 아저씨라고<br>아빠를 불렀던 때<br>But you’re realer than<br>my real father now<br>지금 눈물 참느라 비음 됐어 난<br>얼마 전 친구 아버지 사진 앞에서<br>그 상실감을 조금 체험했어 난<br>오늘 내 별이 몇 개 떴는진<br>모르지만 one thing that I know<br>아버지의 편지가 더 많았지<br>강원도의 별들보다도<br>I’m counting stars<br>밤하늘에 펄<br>Better than your LV<br>Your LV<br>I’m counting stars stars<br>밤하늘에 펄<br>Better than your LV<br>Your LV<br>,"BE'O (비오), 빈지노 (Beenzino)","BE'O (비오), Kevin Jacoutot",Kevin Jacoutot
32224272,METEOR,image_32224272.jpg,창모 (CHANGMO),Boyhood,2019.11.29,랩/힙합,Yeah ha<br>Yeah ha<br>Yeah ha<br>Yeah ha<br>Yeah ha<br>Yeah ha<br>Yeah ha<br>Yeah ha<br>Yeah ha<br>Yeah ha<br>Yeah ha<br>Yeah ha<br>모두 그에게 말해 또 왔네<br>새꺄 whut<br>죽지 않고 왔다 이렇게<br>새꺄 뭐<br>Snacky chan의<br>라인을 빌릴래<br>했어 예수처럼 이렇게 부활을<br>031 팔 안쪽의<br>tatt freaky woah<br>어젠 시장님이 만나쟤 motown<br>어수룩해 엄마 속에 걱정<br>한 톤만큼 쌓고<br>스물한살에 독립했던 얘는<br>여섯이 되었고<br>발견했지 우연히 5년 전의 노트<br>정말 스타 되고 싶어<br>그럴려면 가서 만나면 돼 악마<br>노트를 덮고<br>거울에 비춰진 남자를 보니 와<br>저 손목이 너무 부러워<br>저 금 daydate rollie<br>넘을걸 천백은 더<br>전국<br>사람들이 외치네<br>저 괴물체는 뭘까<br>Meteor<br>거대 Meteor<br>난 네게 처박힐 Meteor야<br>별빛이 내려오지 마구<br>내려오지<br>경고<br>경고<br>그래도 처박힐 Meteor야<br>motown의 1번 노랠<br>기억해 니들<br>뭐였지 뭐였나 음 음<br>i’m the man in the mirror<br>그러니 light me up<br>1절의 그 별이 2절의 그 별이<br>그래 모두 나였지<br>실화가 된 동화이지<br>힘들 때면 홀로<br>쓴 노래를 불러<br>환상들을 보던<br>성냥팔이 소년이였던 나날들이<br>365 24 730 24에 7<br>1095 아 그만 세자<br>1400이 되니 oh<br>그 애랑도 하고 돔페리뇽이 만든<br>숙취 땜에 넋을 놓은 나를 향해<br>몇천 명이 와 해<br>본 적은 없지만 때론<br>어떤 존재가<br>내 인생을 왔다 간 듯해<br>그냥 그런 느낌이 들지<br>상관없어 환상이던 현실이던지<br>hands up high<br>전국<br>사람들이 외치네<br>저 괴물체는 뭘까<br>Meteor<br>거대 Meteor<br>난 네게 처박힐 Meteor야<br>별빛이 내려오지 마구<br>내려오지<br>경고<br>경고<br>그래도 처박힐 Meteor야<br>영 영 영원히<br>약속해 영원하기로<br>어둠 가득한 저 뒤로<br>돌려보내지 말아요 제발 제발<br>영 영 영원히<br>난 영원할 거라 믿어<br>흥분으로 가득차<br>이 도시에 나 외칠 꺼야<br>드디어 내가 여 왔다<br>,창모 (CHANGMO),창모 (CHANGMO),창모 (CHANGMO)
34481682,겨울잠,image_34481682.jpg,아이유,조각집,2021.12.29,발라드,때 이른 봄 몇 송이 꺾어다<br>너의 방 문 앞에 두었어<br>긴 잠 실컷 자고 나오면<br>그때쯤엔 예쁘게 피어 있겠다<br><br>별 띄운 여름 한 컵 따라다<br>너의 머리맡에 두었어<br>금세 다 녹아버릴 텐데<br>너는 아직 혼자 쉬고 싶은가 봐<br><br>너 없이 보는 첫 봄이 여름이<br>괜히 왜 이렇게 예쁘니<br>다 가기 전에 널 보여줘야 하는데<br>음 꼭 봐야 하는데<br><br>내게 기대어 조각잠을 자던<br>그 모습 그대로 잠들었구나<br>무슨 꿈을 꾸니<br>깨어나면 이야기해 줄 거지<br>언제나의 아침처럼 음<br><br>빼곡한 가을 한 장 접어다<br>너의 우체통에 넣었어<br>가장 좋았던 문장 아래 밑줄 그어<br>나 만나면 읽어줄래<br><br>새하얀 겨울 한 숨 속에다<br>나의 혼잣말을 담았어<br>줄곧 잘 참아내다가도<br>가끔은 철없이 보고 싶어<br><br>새삼 차가운 연말의 공기가<br>뼈 틈 사이사이 시려와<br>움츠려 있을 너의 그 마른 어깨를 <br>꼭 안아줘야 하는데<br><br>내게 기대어 조각잠을 자던<br>그 모습 그대로 잠들었구나<br>무슨 꿈을 꾸니<br>깨어나면 이야기해 줄 거지<br>언제나의 아침처럼 음,아이유,아이유,서동환
32872978,Dynamite,image_32872978.jpg,방탄소년단,Dynamite (DayTime Version),2020.08.24,댄스,Cos ah ah<br>I’m in the stars tonight<br>So watch me bring the fire<br>and set the night alight<br>Shoes on get up in the morn<br>Cup of milk let’s rock and roll<br>King Kong kick the drum<br>rolling on like a rolling stone<br>Sing song when I’m walking home<br>Jump up to the top LeBron<br>Ding dong call me on my phone<br>Ice tea and a game of ping pong<br>This is getting heavy<br>Can you hear the bass boom<br>I’m ready<br>Life is sweet as honey<br>Yeah this beat cha ching<br>like money<br>Disco overload I’m into<br>that I’m good to go<br>I'm diamond you know I glow up<br>Hey so let’s go<br>Cos ah ah<br>I’m in the stars tonight<br>So watch me bring the fire<br>and set the night alight<br>Shining through the city<br>with a little funk and soul<br>So I’mma light it up<br>like dynamite woah<br>Bring a friend join the crowd<br>Whoever wanna come along<br>Word up talk the talk<br>just move like we off the wall<br>Day or night the sky’s alight<br>So we dance to the break of dawn<br>Ladies and gentlemen<br>I got the medicine<br>so you should keep ya<br>eyes on the ball huh<br>This is getting heavy<br>Can you hear the bass boom<br>I’m ready<br>Life is sweet as honey<br>Yeah this beat cha ching<br>like money<br>Disco overload<br>I’m into that I’m good to go<br>I'm diamond you know I glow up<br>Let’s go<br>Cos ah ah<br>I’m in the stars tonight<br>So watch me bring the fire<br>and set the night alight<br>Shining through the city<br>with a little funk and soul<br>So I’mma light it up<br>like dynamite woah<br>Dynnnnnanana life is dynamite<br>Dynnnnnanana life is dynamite<br>Shining through the city<br>with a little funk and soul<br>So I’mma light it up<br>like dynamite woah<br>Dynnnnnanana eh<br>Dynnnnnanana eh<br>Dynnnnnanana eh<br>Light it up like dynamite<br>Dynnnnnanana eh<br>Dynnnnnanana eh<br>Dynnnnnanana eh<br>Light it up like dynamite<br>Cos ah ah<br>I’m in the stars tonight<br>So watch me bring the fire<br>and set the night alight<br>Shining through the city<br>with a little funk and soul<br>So I’mma light it up<br>like dynamite<br>Cos ah ah<br>I’m in the stars tonight<br>So watch me bring the fire<br>and set the night alight<br>Shining through the city<br>with a little funk and soul<br>So I’mma light it up<br>like dynamite woah<br>Dynnnnnanana life is dynamite<br>Dynnnnnanana life is dynamite<br>Shining through the city<br>with a little funk and soul<br>So I’mma light it up<br>like dynamite woah<br>,"David Stewart, Jessica Agombar","David Stewart, Jessica Agombar",
37463572,해야 (HEYA),image_37463572.jpg,IVE (아이브),IVE SWITCH,2024.04.29,댄스,"Let’s get it<br>Look at it<br>Pay attention<br><br>얼어붙은 맘 어디 깨볼까? <br>놀라버렸던 네 심장 말이야 <br>맘에 들었어 넌 그냥 Say yes <br>내가 널 부르면 “얼음 땡” <br><br>(Da da da dun dun) <br>널 노리는 내 두 눈<br>숨을 죽인 그다음<br>한 발 낮춘 attitude<br>때를 기다리는 pose <br><br>어둠 속 빛난 tiger eyes<br>날 감춘 채로 다가가<br>새빨간 말로 홀려 놔<br>방심한 순간 claw <br><br>우린 더 높이<br>하늘에 닿을 것처럼 외쳐 너를 깨워<br>올려 봐 노려봐 넌 내 거니까 다<br>자꾸 널 보면 탐이 탐이 나<br><br>해야 해야 해야<br>한입에 널 삼킬 때야<br>(탐이 탐이 나)<br>해야 해야 해야<br>이미 내가 이긴 패야<br>(널 보면 탐이 탐이 나)<br><br>해야 해야 해야<br>뜨겁게 떠오르는 해야<br>별안간 홀린 그 순간 Bite<br>단 한 번에 난 널 휘리휘리 Catch ya <br><br>더 높이 Keep it up<br>Uh huh<br>Happily ever after? Nope!<br>(Da da da dun dun)<br><br>못 기다린대 못 돼버린 내 맘이<br>겁 따윈 없는 척하지 마 너 감히<br>멀어져 넌 가니<br>어차피 한 입 거리 (Hey)<br>옳지 착하지 더 이리이리 오렴 <br><br>네 맘 나 주면 안 잡아먹지 Right now<br>내 발톱 아래 뭘 숨겼을지 Watch out<br><br>우린 더 높이<br>하늘에 닿을 것처럼 외쳐 너를 깨워<br>올려 봐 노려봐 넌 내 거니까 다<br>자꾸 널 보면 탐이 탐이 나<br><br>해야 해야 해야<br>한입에 널 삼킬 때야<br>(탐이 탐이 나)<br>해야 해야 해야<br>이미 내가 이긴 패야<br>(널 보면 탐이 탐이 나)<br><br>해야 해야 해야<br>뜨겁게 떠오르는 해야<br>별안간 홀린 그 순간 Bite<br>단 한 번에 난 널 휘리휘리 Catch ya <br><br>휘리휘리 휘리휘리 <br>휘리휘리 휘리휘리<br><br>더 붉게 더 밝게<br>타올라 뜨거워도 좋으니<br>더 높게 더 높게<br>숨어도 넌 내 손바닥 안이니<br><br>깊은 어둠이 짙은 구름이<br>또 긴 밤 아래 널 감출 테니<br>Chew and swallow <br>Get ready for it, baby<br>(Listen when I say)<br><br>자꾸 널 보면 탐이 탐이 나<br><br>해야 해야 해야<br>한입에 널 삼킬 때야<br>(탐이 탐이 나)<br>해야 해야 해야<br>이미 내가 이긴 패야<br>(널 보면 탐이 탐이 나)<br><br>해야 해야 해야<br>뜨겁게 떠오르는 해야<br>별안간 홀린 그 순간 Bite<br>Da da da dun dun dun","이스란, 엑시 (우주소녀), 솔희 (SOHLHEE)","Ryan S. Jhun, Dwayne Abernathy Jr., Ido Nadjar, Kloe Latimer, Jack Brady, Jordan Roman","Ryan S. Jhun, Dem Jointz, Ido Nadjar, The Wavys"
32725013,마리아 (Maria),image_32725013.jpg,화사 (HWASA),María,2020.06.29,댄스,욕을 하도 먹어 체했어 하도<br>서러워도 어쩌겠어 I do<br>모두들 미워하느라 애썼네<br>날 무너뜨리면 <br>밥이 되나 <br><br>외로워서 어떡해<br>미움마저 삼켰어<br>화낼 힘도 없어<br>여유도 없고<br>뭐 그리 아니꼬와<br>가던 길 그냥 가<br>왜들 그래 서럽게<br>  <br>마리아 마리아 <br>널 위한 말이야<br>빛나는 밤이야 <br>널 괴롭히지마<br>오 마리아 널 위한 말이야<br>뭐 하러 아등바등해<br>이미 아름다운데<br><br>(yeah) Oh na ah ah <br>(yeah) 널 위한 말이야<br>(yeah) Oh na ah ah<br>(yeah) 아름다워 마리아<br> <br>No frame no fake<br>지끈 지끈거려<br>하늘은 하늘색 사는 게 다 뻔해<br>내가 갈 길은 내가 바꾸지 뭐<br>위기는 기회로 다 바꾸지 뭐<br>굳이 우는 꼴이 보고 싶다면 <br>옜다 눈물 <br> <br>외로워서 어떡해<br>미움마저 삼켰어<br>화낼 힘도 없어<br>이유도 없고<br>마음을 더럽히지마<br>타락하기엔 아직 일러<br><br>마리아 마리아 <br>널 위한 말이야<br>빛나는 밤이야 <br>널 괴롭히지마<br>오 마리아 널 위한 말이야<br>뭐 하러 아등바등해<br>이미 아름다운데<br> <br>(yeah) Oh na ah ah<br>(yeah) 널 위한 말이야<br>(yeah) Oh na ah ah<br>(yeah) 아름다워 마리아<br><br>마리아 마리아 <br>널 위한 말이야<br>빛나는 밤이야 <br>널 괴롭히지마<br>오 마리아 널 위한 말이야<br>뭐 하러 아등바등해<br>이미 아름다운데<br><br>(yeah) Oh na ah ah<br>(yeah) 널 위한 말이야<br>(yeah) 널 위한 말이야<br>(yeah) 아름다워 마리아,"박우상 (LOGOS), 화사 (HWASA)","박우상 (LOGOS), 화사 (HWASA)",박우상 (LOGOS)
32794652,취기를 빌려 (취향저격 그녀 X 산들),image_32794652.jpg,산들,취기를 빌려 (취향저격 그녀 X 산들),2020.07.20,발라드,언제부턴가 불쑥<br>내 습관이 돼버린 너<br>혹시나 이런 맘이<br>어쩌면 부담일까<br>널 주저했어<br>언제부턴가 점점<br>내 하루에 스며든 너<br>아침을 깨우는 네 생각에<br>어느샌가 거리엔<br>어둠이 젖어 들고<br>취기를 빌려<br>오늘 너에게 고백할 거야<br>하루하루 네가 좋다고<br>괜히 어색할까<br>혼자 애만 태우다<br>끝끝내 망설여왔던 순간<br>알잖아 나 무뚝뚝하고<br>말도 없는 걸<br>서툰 표현이 쑥스러워서 괜히<br>쓰다 지울 문자만 바라보다<br>멋쩍은 쓴웃음만<br>언제부턴가 가끔<br>너와 마주칠 때마다<br>한참을 머뭇거린<br>어설픈 손 인사만<br>오늘 밤도 후회로 잦아들고<br>취기를 빌려<br>오늘 너에게 고백할 거야<br>하루하루 보고 싶다고<br>괜히 어색할까 혼자 애만 태우다<br>수없이 연습해왔던 그 말<br>알잖아 나 무뚝뚝하고<br>말도 없는 걸<br>서툰 표현이 쑥스러워서 괜히<br>쓰다 지울 문자만 바라보다<br>멋쩍은 쓴웃음만<br>첫눈을 빌려<br>오늘은 꼭 고백할 거야<br>작은 너를 품에 안고서<br>눈을 마주하고<br>너무 사랑한다고<br>함께 하고 싶다고<br>,새봄 (saevom),새봄 (saevom),박민주
